Position,Company,Location
Backend Development Manager,Quincus,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Technical Architect, Nodejs",NashTech,"Ho Chi Minh City, Vietnam"
Narrative Unreal Artist,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Product Reliability Engineer (Python),Fetch Technology,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Software Engineer,JAC Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Applications Manager - Global Manufacturing Company,Michael Page,"Hanoi, Hanoi, Vietnam"
Sales Coordinator,Persolkelly's client,Hanoi Capital Region
DevOps Engineer,Coinhako,"Phường Thảo Điền, Ho Chi Minh City, Vietnam"
QC Engineer (Testing),Công ty Cổ phần Cơ điện lạnh (REE Corporation),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Oracle Cloud Technical Consultant,Fetch Technology,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Performance Test Engineer,Paradox,"Đà Nang, Da Nang City, Vietnam"
Training Team Leader (E- Learning),Pixelz Inc,"Hanoi, Hanoi, Vietnam"
Solidity Developer,Fetch Technology,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solution Architect (40001088),Techcombank (TCB),Ho Chi Minh City Metropolitan Area
"Account Manager (Energy Industries, Hochiminh)",ABB,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
SERVER ADMINISTRATOR (DevOps/AWS),Be Solutions,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Room Attendant,Le Méridien Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Python Data Engineer,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Digital Sales Specialist - MW – Vietnam & SEA,Microsoft,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Solution Architect - Leading Commercial Bank,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Store Assistant Manager,TalenCloud Consultancy,"Cam My, Dong Nai, Vietnam"
Test Engineer,Got It AI,"Hanoi, Hanoi, Vietnam"
Steel Connection Engineer - Construction Engineering,Thornton Tomasetti,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Specialist, Payroll",SWAROVSKI,"Biên Hòa, Dong Nai, Vietnam"
Director Business Development (North America),CBN Secure Technologies Inc.,"Can Tho, Can Tho, Vietnam"
B2B - Sales Assistant,Công Ty Tnhh The Lab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior DevOps Engineer,CODE LEAP AG,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solution Sales Specialist,Softline International,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Teacher of English - (Young Learner Specialist),British Council,"Ho Chi Minh City, Vietnam"
"Office Administrative Officer, Hanoi Office",AIG,"Hanoi, Hanoi, Vietnam"
"Expert, Insurance (40000653)",Techcombank (TCB),Ho Chi Minh City Metropolitan Area
Back End Developer,Công Ty Cổ Phần Công Nghệ Natech,"Ho Chi Minh City, Vietnam"
Solution Sales Specialist,Softline Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Remote Go Language Developer Jobs,Turing.com,Vietnam
Industrial Account Manager,JLL,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"DevOps Engineer (AWS, Linux)",Lecle Vietnam,"Quận 1, Ho Chi Minh City, Vietnam"
Senior Human Resources Manager,AdStart Media Pte. Ltd,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Engineer III,Marriott,"Phú Quoc, Vietnam"
"Mgr II, SOC - 40856BR",Synopsys Inc,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,AlphaLab Capital Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Lead Engineer - Build by McKinsey - Ho Chi Minh City Based,McKinsey & Company,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
HCMC - DevOps Engineer (Open Level),7Circles,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Account Manager (Audio system)- Ha Noi,Robert Walters,"Hanoi, Hanoi, Vietnam"
Inventory Analyst,Jabil,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
QA Engineer (Client),V-Key - Stronger with V-OS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Host/Hostess-Hospitality,Sheraton Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Full-stack Test Engineer,"KMS Technology, Inc.","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Technical Lead, DevOps (Bangkok based, relocation provided)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Admin & HR Staff,Công Ty Cp Tổ Chức Nhà Quốc Gia Đông Dương,"Hanoi, Hanoi, Vietnam"
Senior Infrastructure Engineer,"Evoss Global, Inc.","Cam My, Dong Nai, Vietnam"
Data Architect,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
Senior Solutions Architect,Amazon Web Services (AWS),"Hanoi, Hanoi, Vietnam"
Teacher of English - Part-time,British Council,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Fullstack Developer (.NET + ReactJS),Sharesource,Vietnam
Procurement Manager,NES RECRUITMENT LTD,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"[[HCM: Quận Bình Thạnh, 2, 9, Thủ Đức] Officer, Retail Banking",Techcombank (TCB),Ho Chi Minh City Metropolitan Area
Nhân Viên Tester,Công ty Cổ phần Tập đoàn Công nghệ Unicloud (Unicloud Group),"Hanoi, Hanoi, Vietnam"
Japanese Java Software Engineer (All level),DXC Technology Vietnam,"Ho Chi Minh City, Vietnam"
Senior Cloud Engineer (0405),Techcombank (TCB),Ho Chi Minh City Metropolitan Area
Senior Financial Analyst,Jabil,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Accountant ( English + Japanese),ACCA Careers,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Income Auditor_JW Marriott Hotel Hanoi,JW Marriott,"Hanoi, Hanoi, Vietnam"
Associate Director,"Clinton Health Access Initiative, Inc.","Hanoi, Hanoi, Vietnam"
Duty Engineering,Le Méridien Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Guest Services Agent,Le Méridien Hotels & Resorts,"Ho Chi Minh City, Vietnam"
Logistics Coordinator,Jabil,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Room Attendant,Marriott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Regional HR Manager (APAC),Softline Group,"Hanoi, Hanoi, Vietnam"
Data Engineer I/II,Rackspace Technology,Vietnam
O2C Executive,Bayer,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Business Solutions Engineer (Core Banking),FIS,"Hanoi, Hanoi, Vietnam"
Remote - Junior Developer,Fetch Technology,"Hanoi, Hanoi, Vietnam"
Senior Channel Sales Representative,Honeywell,"Hanoi, Hanoi, Vietnam"
Backend Developer,XLD Finance,"Vũng Tàu, Ba Ria-Vung Tau, Vietnam"
"Software Engineer in DevOps team (ALL LEVEL) (Bangkok based, relocation provided)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
2D Game Artist,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
