Position,Company,Location
HCMC - (Junior/Middle/Senior) Manual Tester,Amaris Consulting,Ho Chi Minh City Metropolitan Area
Data Engineer (Python),Hyperion360,Vietnam
Senior Quality Control Engineer,Kyanon Digital,"Ho Chi Minh City, Vietnam"
Implementation Engineer,Xcede,"Ho Chi Minh City, Vietnam"
QHSSE Executive,DB Schenker,"Vinh Phuc, Vietnam"
IT Program Manager - Complex real estate projects,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solutions Architect,Sharesource,"Ho Chi Minh City, Vietnam"
IT Program Manager - Complex real estate projects,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Solutions Architect,Sharesource,"Ho Chi Minh City, Vietnam"
"Senior Project Manager – Information Security (Bangkok based, relocation provided)",Agoda,"Hanoi, Hanoi, Vietnam"
"Software Test Engineer Intern (QA/QC/Tester), based in Da Nang","KMS Technology, Inc.","Đà Nang, Da Nang City, Vietnam"
Network Engineer,HCLTech Vietnam,"Ho Chi Minh City, Vietnam"
"Assistant Manager, Vendor Risk Management",Manulife,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Operations Manager (VN),TDCX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
QA Engineer (Fresher/Junior/Middle),OPSWAT,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Engineering Manager,Skedulo,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Executive, IT Application Management",US Vietnam Talent International School,"Ho Chi Minh City, Vietnam"
[HCMC] Technical Writer (Blockchain/Crypto/DeFi) - Research & Engineering team,Kyber Network,"Ho Chi Minh City, Vietnam"
Active Directory Administrator,Accenture,"Ho Chi Minh City, Vietnam"
Quality Engineer,Funding Societies | Modalku Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Enterprise Services Manager,Amazon Web Services (AWS),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
General Director - IT Managed Service Global Microsoft Partner,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DevOps Engineer,Trillo Solutions,"Ho Chi Minh City, Vietnam"
"Senior Officer, DevSecOps (40001147)",Techcombank (TCB),Ho Chi Minh City Metropolitan Area
Head of Branch Service,UOB,Ho Chi Minh City Metropolitan Area
Team Lead (VN),TDCX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior QA Engineer,Verticurl (A WPP Company),"Ho Chi Minh City, Vietnam"
Industry Advisor - Financial Services,Microsoft,Vietnam
HCMC - Software Tester (Open Level),Amaris Consulting,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
